2025-10-18T09:19:17.000000000Z [inf]  Starting Container
2025-10-18T09:19:18.210680127Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-18T09:19:18.210683336Z [inf]    3. PiAPI Flux (timeout=20s)
2025-10-18T09:19:18.210688163Z [inf]  🔌 HD Image Gateway initialized with 1 provider(s)
2025-10-18T09:19:18.210694536Z [inf]  📊 Using Replicate Real-ESRGAN (direct, no Huggingface bottleneck)
2025-10-18T09:19:18.210695265Z [inf]  🔌 Muscle Enhancement Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.210701286Z [inf]  🔌 Cartoon Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.210705219Z [inf]  🔌 Art Style Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.210706914Z [inf]  🔌 Memoji Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.210711750Z [inf]  🔌 Animal-Toon Gateway initialized with 3 provider(s)
2025-10-18T09:19:18.210713868Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-18T09:19:18.210717922Z [inf]    1. Replicate PhotoMaker (timeout=30s)
2025-10-18T09:19:18.210720803Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-18T09:19:18.210724731Z [inf]    2. Replicate InstantID (timeout=90s)
2025-10-18T09:19:18.210779892Z [err]  [2025-10-18 09:19:17 +0000] [1] [INFO] Starting gunicorn 21.2.0
2025-10-18T09:19:18.210784812Z [err]  [2025-10-18 09:19:17 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-10-18T09:19:18.210790706Z [err]  [2025-10-18 09:19:17 +0000] [1] [INFO] Using worker: sync
2025-10-18T09:19:18.210796395Z [err]  [2025-10-18 09:19:17 +0000] [2] [INFO] Booting worker with pid: 2
2025-10-18T09:19:18.210802990Z [err]  [2025-10-18 09:19:17 +0000] [3] [INFO] Booting worker with pid: 3
2025-10-18T09:19:18.210810221Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-18T09:19:18.210816834Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-18T09:19:18.210823301Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.213882894Z [inf]  🔌 Cartoon Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.213889155Z [inf]  🔌 Memoji Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.213893947Z [inf]  🔌 Animal-Toon Gateway initialized with 3 provider(s)
2025-10-18T09:19:18.213898498Z [inf]    1. Replicate PhotoMaker (timeout=30s)
2025-10-18T09:19:18.213913027Z [inf]    2. Replicate InstantID (timeout=90s)
2025-10-18T09:19:18.213918270Z [inf]    3. PiAPI Flux (timeout=20s)
2025-10-18T09:19:18.213922896Z [inf]  🔌 Muscle Enhancement Gateway initialized with 2 provider(s)
2025-10-18T09:19:18.213928835Z [inf]  🔌 Art Style Gateway initialized with 2 provider(s)
