2025-10-19T14:24:20.000000000Z [inf]  Starting Container
2025-10-19T14:24:21.687044888Z [inf]  📊 Using Replicate Real-ESRGAN (direct, no Huggingface bottleneck)
2025-10-19T14:24:21.687057328Z [inf]  📊 Using Replicate Real-ESRGAN (direct, no Huggingface bottleneck)
2025-10-19T14:24:21.687059545Z [inf]  🔌 Animal-Toon Gateway initialized with 3 provider(s)
2025-10-19T14:24:21.687074142Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.687074667Z [inf]  🔌 Cartoon Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.687085026Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-19T14:24:21.687086356Z [inf]  🔌 Memoji Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.687100269Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-19T14:24:21.687102750Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-19T14:24:21.687119243Z [inf]  🔌 HD Image Gateway initialized with 1 provider(s)
2025-10-19T14:24:21.687124283Z [err]  [2025-10-19 14:24:21 +0000] [1] [INFO] Starting gunicorn 21.2.0
2025-10-19T14:24:21.687126956Z [inf]  🔌 Face Swap Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.687132221Z [err]  [2025-10-19 14:24:21 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-10-19T14:24:21.687140353Z [err]  [2025-10-19 14:24:21 +0000] [1] [INFO] Using worker: sync
2025-10-19T14:24:21.687140650Z [inf]  📊 Provider priority: Replicate → PiAPI
2025-10-19T14:24:21.687146986Z [err]  [2025-10-19 14:24:21 +0000] [2] [INFO] Booting worker with pid: 2
2025-10-19T14:24:21.687152670Z [inf]  🔌 HD Image Gateway initialized with 1 provider(s)
2025-10-19T14:24:21.687154446Z [err]  [2025-10-19 14:24:21 +0000] [3] [INFO] Booting worker with pid: 3
2025-10-19T14:24:21.687162271Z [inf]  ✅ Replicate provider enabled (PRIMARY - budget-friendly)
2025-10-19T14:24:21.687170529Z [inf]  ✅ PiAPI provider enabled (FALLBACK - 99.9% uptime SLA)
2025-10-19T14:24:21.690178189Z [inf]    1. Replicate PhotoMaker (timeout=30s)
2025-10-19T14:24:21.690185045Z [inf]    2. Replicate InstantID (timeout=90s)
2025-10-19T14:24:21.690191818Z [inf]    3. PiAPI Flux (timeout=20s)
2025-10-19T14:24:21.690198511Z [inf]  🔌 Cartoon Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690206342Z [inf]  🔌 Muscle Enhancement Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690213243Z [inf]  🔌 Memoji Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690219567Z [inf]  🔌 Art Style Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690225943Z [inf]  🔌 Video Swap Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690233088Z [inf]  📊 Video Swap Provider priority: VModel Pro → Replicate Roop
2025-10-19T14:24:21.690240527Z [inf]  🔌 Animal-Toon Gateway initialized with 3 provider(s)
2025-10-19T14:24:21.690246734Z [inf]    1. Replicate PhotoMaker (timeout=30s)
2025-10-19T14:24:21.690252563Z [inf]    2. Replicate InstantID (timeout=90s)
2025-10-19T14:24:21.690258442Z [inf]    3. PiAPI Flux (timeout=20s)
2025-10-19T14:24:21.690266932Z [inf]  🔌 Muscle Enhancement Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690275983Z [inf]  🔌 Art Style Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690283234Z [inf]  🔌 Video Swap Gateway initialized with 2 provider(s)
2025-10-19T14:24:21.690289887Z [inf]  📊 Video Swap Provider priority: VModel Pro → Replicate Roop
2025-10-19T14:25:31.674392449Z [inf]  📥 [PHOTO_TEMPLATES_STORY] Fetching from Supabase...
2025-10-19T14:25:31.674397057Z [inf]  ✅ [PHOTO_TEMPLATES_STORY] Found 12 photos in 2 categories (DYNAMIC)
2025-10-19T14:25:51.651693408Z [inf]  📥 [PHOTO_TEMPLATES_STORY] Fetching from Supabase...
2025-10-19T14:25:51.651703243Z [inf]  ✅ [PHOTO_TEMPLATES_STORY] Found 12 photos in 2 categories (DYNAMIC)
2025-10-19T14:26:31.375592364Z [inf]  📥 [FACE_SWAP] Received request
2025-10-19T14:26:31.375601252Z [inf]  🖼️  [FACE_SWAP] Target: data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD...
2025-10-19T14:26:31.375609536Z [inf]  👤 [FACE_SWAP] Source: data:image/jpeg;base64,/9j/4QBqRXhpZgAATU0AKgAAAAg...
2025-10-19T14:26:31.375616254Z [inf]  🚀 [FACE_SWAP] Calling gateway...
2025-10-19T14:26:31.375622614Z [inf]  🔄 Trying provider: Replicate
2025-10-19T14:26:31.375628933Z [inf]  🔄 [REPLICATE] Trying easel/advanced-face-swap (timeout=90s)...
2025-10-19T14:26:51.391672941Z [inf]  🔍 [REPLICATE] Output type: FileOutput
2025-10-19T14:26:51.391685032Z [inf]  🔍 [REPLICATE] Output content: https://replicate.delivery/xezq/JnBX2rVsRDptJR2NeCnheiSSxzYDYs2HzNeTfGe9j25dkTFsC/output.1.png
2025-10-19T14:26:51.391693109Z [inf]  📎 [REPLICATE] FileOutput, using .url: https://replicate.delivery/xezq/JnBX2rVsRDptJR2NeCnheiSSxzYDYs2HzNeTfGe9j25dkTFsC/output.1.png
2025-10-19T14:26:51.391702565Z [inf]  ✅ [REPLICATE] Success via easel/advanced-face-swap, URL: https://replicate.delivery/xezq/JnBX2rVsRDptJR2NeCnheiSSxzYDYs2HzNeTfGe9j25dkTFsC/output.1.png...
2025-10-19T14:26:51.391709561Z [inf]  📤 [FACE_SWAP] Result: success=True
2025-10-19T14:26:51.391716628Z [inf]  ✅ [FACE_SWAP] Returning URL: https://replicate.delivery/xezq/JnBX2rVsRDptJR2NeCnheiSSxzYDYs2HzNeTfGe9j25dkTFs...
